index,citationStyle
249,chicago-author-date-de
250,chicago-author-date-fr
251,chicago-author-date
252,chicago-fullnote-bibliography-16th-edition
253,chicago-fullnote-bibliography-fr
254,chicago-fullnote-bibliography-with-ibid
255,chicago-fullnote-bibliography
256,chicago-library-list
257,chicago-note-bibliography-16th-edition
258,chicago-note-bibliography-with-ibid
259,chicago-note-bibliography
260,chimia
261,chinese-gb7714-1987-numeric
262,chinese-gb7714-2005-author-date
263,chinese-gb7714-2005-numeric
264,chinese-journal-of-aeronautics
265,chroniques-des-activites-archeologiques-de-l-ecole-francaise-de-rome
266,circulation-journal
267,circulation
268,cirugia-cardiovascular
269,citizen-science-theory-and-practice
270,civilta-italiana
271,cladistics
272,clara-architecture-recherche
273,clay-minerals
274,clays-and-clay-minerals
275,climate-change-economics
276,clinica-e-investigacion-en-arteriosclerosis
277,clinical-anatomy
278,clinical-dysmorphology
279,clinical-gastroenterology-and-hepatology
280,clinical-hemorheology-and-microcirculation
281,clinical-infectious-diseases
282,clinical-journal-of-sport-medicine
283,clinical-nuclear-medicine
284,clinical-oral-implants-research
285,clinical-orthopaedics-and-related-research
286,clinical-otolaryngology
287,clinical-pharmacology-and-therapeutics
288,clinical-physiology-and-functional-imaging
289,clinical-radiology
290,clinical-spine-surgery
291,clio-medica
292,cns-and-neurological-disorders-drug-targets
293,cold-spring-harbor-laboratory-press
294,collection-de-l-ecole-francaise-de-rome-full-note
295,collection-de-l-ecole-francaise-de-rome-note
296,collection-du-centre-jean-berard
297,collections-electroniques-de-l-inha-author-date
298,collections-electroniques-de-l-inha-full-note
299,colombian-journal-of-anesthesiology
300,colorado-state-university-school-of-biomedical-engineering
301,comision-economica-para-america-latina-y-el-caribe
302,comparative-population-studies
303,conservation-biology
304,conservation-letters
305,conservation-physiology
306,copeia
307,copernicus-publications
308,coral-reefs
309,cornea
310,corrosion
311,council-of-science-editors-alphabetical
312,council-of-science-editors-author-date
313,council-of-science-editors
314,cranfield-university-numeric
315,creativity-and-innovation-management
316,critical-care-medicine
317,critical-reviews-in-plant-sciences
318,crop-breeding-and-applied-biotechnology
319,cuadernos-de-filologia-clasica
320,cultivos-tropicales
321,cultural-geographies
322,cultural-studies-of-science-education
323,culture-medicine-and-psychiatry
324,current-alzheimer-research
325,current-gene-therapy
326,current-opinion
327,current-pharmaceutical-design
328,current-proteomics
329,current-protocols
330,current-science
331,current-topics-in-medicinal-chemistry
332,currents-in-biblical-research
333,cyberpsychology-behavior-and-social-networking
334,cybium
335,cytometry
336,data-science-journal
337,database
338,de-montfort-university-harvard
339,decision-sciences
340,demographic-research
341,der-moderne-staat
342,deutsche-gesellschaft-fur-psychologie
343,deutsche-sprache
344,deutsches-archaologisches-institut
345,development-and-change
346,development-policy-review
347,developmental-neurobiology
348,diagnostico-prenatal
349,dialisis-y-trasplante
350,diatom-research
351,die-bachelorarbeit-samac-et-al-in-text
352,die-bachelorarbeit-samac-et-al-note
353,din-1505-2-alphanumeric
354,din-1505-2-numeric-alphabetical
355,din-1505-2-numeric
356,din-1505-2
357,diplo
358,disability-and-rehabilitation
359,discovery-medicine
360,dna-research
361,documents-d-archeologie-francaise
362,donau-universitat-krems-department-fur-e-governance-in-wirthschaft-und-verwaltung
363,drug-development-research
364,drug-testing-and-analysis
365,drugs-of-today
366,ear-and-hearing
367,early-christianity
368,earthquake-engineering-and-structural-dynamics
369,earthquake-spectra
370,ecclesial-practices
371,ecole-de-technologie-superieure-apa
372,ecole-pratique-des-hautes-etudes-sciences-historiques-et-philologiques
373,ecology-letters
374,ecology-of-freshwater-fish
375,econometrica
376,economic-commission-for-latin-america-and-the-caribbean
377,economic-geology
378,economie-et-statistique
379,ecoscience
380,ecosistemas
381,ecosystems
382,edward-elgar-business-and-social-sciences
383,egretta
384,einaudi
385,el-profesional-de-la-informacion
386,elementa
387,elife
388,elsevier-harvard-without-titles
389,elsevier-harvard
390,elsevier-harvard2
391,elsevier-vancouver-author-date
392,elsevier-vancouver
393,elsevier-with-titles-alphabetical
394,elsevier-with-titles
395,elsevier-without-titles
396,embo-reports
397,emerald-harvard
398,emu-austral-ornithology
399,endocrine-press
400,endoscopia
401,eneuro
402,enfermeria-clinica
403,enfermeria-intensiva
404,engineering-in-life-sciences
405,entomologia-experimentalis-et-applicata
406,entomological-society-of-america
407,environment-and-planning
408,environmental-and-engineering-geoscience
409,environmental-chemistry
410,environmental-conservation
411,environmental-health-perspectives
412,environmental-microbiology
413,environmental-toxicology-and-chemistry
414,environmental-values
415,environnement-risques-et-sante
416,epidemiology-and-infection
417,epilepsia
418,equine-veterinary-education
419,equine-veterinary-journal
420,ergoscience
421,escuela-nacional-de-antropologia-e-historia-author-date
422,escuela-nacional-de-antropologia-e-historia-full-note
423,escuela-nacional-de-antropologia-e-historia-short-note
424,estudios-de-cultura-maya
425,ethnobiology-and-conservation
426,ethnologie-francaise
427,ethnomusicology
428,ets-ecole-de-technologie-superieure
429,eurointervention
430,europace
431,european-cells-and-materials
432,european-journal-for-philosophy-of-religion
433,european-journal-of-clinical-microbiology-and-infectious-diseases
434,european-journal-of-emergency-medicine
435,european-journal-of-endocrinology
436,european-journal-of-human-genetics
437,european-journal-of-immunology
438,european-journal-of-information-systems
439,european-journal-of-international-law
440,european-journal-of-microbiology-and-immunology
441,european-journal-of-neuroscience
442,european-journal-of-ophthalmology
443,european-journal-of-paediatric-neurology
444,european-journal-of-pain
445,european-journal-of-political-research
446,european-journal-of-public-health
447,european-journal-of-soil-science
448,european-journal-of-ultrasound
449,european-journal-of-vascular-and-endovascular-surgery
450,european-respiratory-journal
451,european-society-of-cardiology
452,european-union-interinstitutional-style-guide
453,evidence-based-complementary-and-alternative-medicine
454,evolution-and-development
455,evolution
456,evolutionary-anthropology
457,evolutionary-ecology-research
458,exercer
459,experimental-dermatology
460,eye
461,fachhochschule-vorarlberg-author-date
462,fachhochschule-vorarlberg-note
463,facial-plastic-surgery-clinics-of-north-america
464,family-business-review
465,fatigue-and-fracture-of-engineering-materials-and-structures
466,feminist-economics
467,ferdinand-porsche-fern-fachhochschule
468,fertility-and-sterility
469,finanzarchiv
470,fine-focus
471,fish-and-fisheries
472,fishery-bulletin
473,flavour-and-fragrance-journal
474,florida-entomologist
475,foerster-geisteswissenschaft
476,fold-and-r
477,food-and-agriculture-organization-of-the-united-nations
478,forensic-science-review
479,forest-science
480,forum-qualitative-social-research
481,free-radical-research
482,freie-universitat-berlin-geographische-wissenschaften
483,french-politics
484,french1
485,french2
486,french3
487,french4
488,freshwater-biology
489,freshwater-crayfish
490,friedrich-schiller-universitat-jena-medizinische-fakultat
491,frontiers-in-ecology-and-the-environment
492,frontiers-in-physics
493,frontiers-medical-journals
494,frontiers
495,future-science-group
496,g3
497,gallia-prehistoire
498,gallia
499,gastroenterology
500,gastrointestinal-endoscopy-clinics-of-north-america
501,gastrointestinal-intervention
502,geistes-und-kulturwissenschaften-heilmann
503,genes-brain-and-behavior
504,genes-to-cells
505,genetics
506,genome-biology-and-evolution
507,genomics-and-informatics
508,geoarchaeology
509,geochemical-perspectives-letters
510,geochimica-et-cosmochimica-acta
511,geochronometria
512,geografie-sbornik-cgs
513,geological-magazine
514,georg-august-universitat-gottingen-institut-fur-ethnologie-und-ethnologische-sammlung
515,german-council-of-economic-experts
516,gesellschaft-fur-popularmusikforschung
517,global-ecology-and-biogeography
518,glossa
519,gost-r-7-0-5-2008-numeric-alphabetical
520,gost-r-7-0-5-2008-numeric
521,gost-r-7-0-5-2008
522,grasas-y-aceites
523,haematologica
524,hainan-medical-university-journal-publisher
525,hamburg-school-of-food-science
526,hand
527,handbook-of-clinical-neurology
528,harvard-anglia-ruskin-university
529,harvard-bournemouth-university
530,harvard-cape-peninsula-university-of-technology
531,harvard-cardiff-university-biosi
532,harvard-cardiff-university
533,harvard-cite-them-right
534,harvard-coventry-university
535,harvard-cranfield-university
536,harvard-deakin-university
537,harvard-dublin-city-university
538,harvard-dundalk-institute-of-technology
539,harvard-durham-university-business-school
540,harvard-edge-hill-university
541,harvard-european-archaeology
542,harvard-fachhochschule-salzburg
543,harvard-falmouth-university
544,harvard-gesellschaft-fur-bildung-und-forschung-in-europa
545,harvard-imperial-college-london
546,harvard-institut-fur-praxisforschung-de
547,harvard-kings-college-london
548,harvard-leeds-beckett-university
549,harvard-leeds-metropolitan-university
550,harvard-limerick
551,harvard-london-south-bank-university
552,harvard-manchester-business-school
553,harvard-manchester-metropolitan-university
554,harvard-melbourne-polytechnic
555,harvard-newcastle-university
556,harvard-north-west-university
557,harvard-oxford-brookes-university-faculty-of-health-and-life-sciences
558,harvard-pontificia-universidad-catolica-del-ecuador
559,harvard-robert-gordon-university
560,harvard-southampton-solent-university
561,harvard-staffordshire-university
562,harvard-stellenbosch-university
563,harvard-swinburne-university-of-technology
564,harvard-the-university-of-melbourne
565,harvard-the-university-of-northampton
566,harvard-the-university-of-sheffield-school-of-east-asian-studies
567,harvard-the-university-of-sheffield-town-and-regional-planning
568,harvard-theologisches-seminar-adelshofen
569,harvard-universiti-teknologi-malaysia
570,harvard-universiti-tunku-abdul-rahman
571,harvard-university-for-the-creative-arts
572,harvard-university-of-abertay-dundee
573,harvard-university-of-bath
574,harvard-university-of-birmingham
575,harvard-university-of-brighton-school-of-environment-and-technology
576,harvard-university-of-cape-town
577,harvard-university-of-exeter-geography
578,harvard-university-of-greenwich
579,harvard-university-of-kent
580,harvard-university-of-leeds
581,harvard-university-of-sunderland
582,harvard-university-of-technology-sydney
583,harvard-university-of-the-west-of-england
584,harvard-university-of-the-west-of-scotland
585,harvard-university-of-westminster
586,harvard-university-of-wolverhampton
587,harvard-university-of-worcester
588,harvard-york-st-john-university
589,haute-ecole-de-gestion-de-geneve-iso-690
590,haute-ecole-pedagogique-fribourg
591,hawaii-international-conference-on-system-sciences-proceedings
592,health-and-human-rights-journal
593,health-and-social-care-in-the-community
594,health-economics-policy-and-law
595,health-economics
596,health-education-research
597,health-policy-and-planning
598,health-reform-observer-observatoire-des-reformes-de-sante
599,health-services-research
600,heart-failure-clinics
601,heart-rhythm
602,heidelberg-university-faculty-of-medicine
603,hematology-oncology-clinics-of-north-america
604,hepatology
605,heredity
606,herpetologica
607,high-altitude-medicine-and-biology
608,hiob-ludolf-centre-for-ethiopian-studies-long-names
609,hiob-ludolf-centre-for-ethiopian-studies-with-url-doi
610,hiob-ludolf-centre-for-ethiopian-studies
611,hipertension-y-riesgo-vascular
612,histopathology
613,historical-social-research
614,history-australia
615,history-of-the-human-sciences
616,hochschule-munchen-fakultat-fur-angewandte-sozialwissenschaften
617,hochschule-pforzheim-fakultat-fur-wirtschaft-und-recht
618,hong-kong-journal-of-radiology
619,human-brain-mapping
620,human-gene-therapy
621,human-mutation
622,human-reproduction-update
623,human-reproduction
624,human-resource-management-journal
625,human-wildlife-interactions
626,humboldt-state-university-environmental-resources-engineering
627,hydrobiologia
628,hydrological-processes
629,hydrological-sciences-journal
630,hypertension-research
631,hypotheses-in-the-life-sciences
632,ib-tauris-note
633,ices-journal-of-marine-science
634,idojaras-quarterly-journal-of-the-hungarian-meteorological-service
635,ie-comunicaciones
636,ieee-magnetics-letters
637,ieee-transactions-on-medical-imaging
638,ieee-with-url
639,ieee
640,iforest
641,igaku-toshokan
642,iica-catie
643,immunological-reviews
644,indian-dermatology-online-journal
645,indian-journal-of-medical-research
646,indian-journal-of-physics
647,indian-journal-of-traditional-knowledge
648,indiana
649,indoor-air
650,infectio
651,infectious-disease-clinics-of-north-america
652,inflammatory-bowel-diseases
653,influenza-and-other-respiratory-viruses
654,information-systems-journal
655,ingenieria-agricola
656,institut-national-de-la-recherche-scientifique-sciences-sociales
657,institut-national-de-sante-publique-du-quebec-napp
658,institut-national-de-sante-publique-du-quebec-topo
659,institut-teknologi-bandung-sekolah-pascasarjana
660,institute-for-operations-research-and-the-management-sciences
661,institute-of-mathematical-statistics
662,institute-of-mathematics-and-its-applications
663,institute-of-physics-harvard
664,institute-of-physics-numeric
665,instituto-de-pesquisas-tecnologicas
666,instituto-superior-de-teologia-de-las-islas-canarias
667,integrated-science-publishing-journals
668,integrative-and-comparative-biology
669,inter-research-science-center
670,inter-ro
671,interaction-design-and-architectures
672,interdisziplinare-zeitschrift-fur-technologie-und-lernen
673,international-atomic-energy-agency
674,international-brazilian-journal-of-urology
675,international-conference-on-information-systems-development
676,international-development-policy
677,international-energy-agency-organisation-for-economic-co-operation-and-development
678,international-journal-for-numerical-methods-in-biomedical-engineering
679,international-journal-of-audiology
680,international-journal-of-cancer
681,international-journal-of-circuit-theory-and-applications
682,international-journal-of-climatology
683,international-journal-of-electronic-commerce
684,international-journal-of-epidemiology
685,international-journal-of-exercise-science
686,international-journal-of-geriatric-psychiatry
687,international-journal-of-humanoid-robotics
688,international-journal-of-language-and-communication-disorders
689,international-journal-of-lexicography
690,international-journal-of-management-reviews
691,international-journal-of-nuclear-security
692,international-journal-of-obstetric-anesthesia
693,international-journal-of-occupational-medicine-and-environmental-health
694,international-journal-of-oral-and-maxillofacial-surgery
695,international-journal-of-plant-sciences
696,international-journal-of-polymeric-materials-and-polymeric-biomaterials
697,international-journal-of-quantum-chemistry
698,international-journal-of-radiation-oncology-biology-physics
699,international-journal-of-simulation-modelling
700,international-journal-of-spatial-data-infrastructures-research
701,international-journal-of-sports-medicine
702,international-journal-of-urban-and-regional-research
703,international-journal-of-wildland-fire
704,international-labour-organization
705,international-organization
706,international-pig-veterinary-society-congress-proceedings
707,international-studies-association
708,international-union-of-crystallography
709,invertebrate-biology
710,investigative-radiology
711,invisu
712,ios-press-books
713,iranian-journal-of-basic-medical-sciences
714,iranian-journal-of-pharmaceutical-research
715,isabella-stewart-gardner-museum
716,isnad
717,iso690-author-date-cs
718,iso690-author-date-en
719,iso690-author-date-es
720,iso690-author-date-fr-no-abstract
721,iso690-author-date-fr
722,iso690-author-date-sk
723,iso690-full-note-sk
724,iso690-note-cs
725,iso690-note-fr
726,iso690-numeric-brackets-cs
727,iso690-numeric-cs
728,iso690-numeric-en
729,iso690-numeric-fr
730,iso690-numeric-lt
731,iso690-numeric-sk
732,israel-medical-association-journal
733,italian-journal-of-agronomy
734,ius-ecclesiae
735,jacc-cardiovascular-imaging
736,jacc-cardiovascular-interventions
737,jahrbuch-der-osterreichischen-byzantinischen-gesellschaft
738,jahrbuch-fur-evangelikale-theologie
739,javnost-the-public
740,journal-for-veterinary-medicine-biotechnology-and-biosafety
741,journal-of-adolescent-health
742,journal-of-aerosol-medicine-and-pulmonary-drug-delivery
743,journal-of-agricultural-and-applied-economics
744,journal-of-alzheimers-disease
745,journal-of-analytical-toxicology
746,journal-of-animal-physiology-and-animal-nutrition
747,journal-of-animal-science
748,journal-of-antimicrobial-chemotherapy
749,journal-of-applied-animal-science
750,journal-of-applied-clinical-medical-physics
751,journal-of-applied-entomology
752,journal-of-applied-pharmaceutical-research
753,journal-of-applied-polymer-science
754,journal-of-archaeological-research
755,journal-of-atrial-fibrillation
756,journal-of-australian-strength-and-conditioning
757,journal-of-avian-biology
758,journal-of-basic-microbiology
759,journal-of-biogeography
760,journal-of-biological-chemistry
761,journal-of-biological-regulators-and-homeostatic-agents
762,journal-of-biomedical-materials-research-part-a
763,journal-of-bone-and-mineral-research
764,journal-of-brachial-plexus-and-peripheral-nerve-injury
765,journal-of-burn-care-and-research
766,journal-of-business-logistics
767,journal-of-cachexia-sarcopenia-and-muscle
768,journal-of-cardiothoracic-and-vascular-anesthesia
769,journal-of-cellular-and-molecular-medicine
770,journal-of-cellular-biochemistry
771,journal-of-chemistry-and-chemical-engineering
772,journal-of-chemometrics
773,journal-of-child-and-adolescent-psychopharmacology
774,journal-of-clinical-neurophysiology
775,journal-of-clinical-oncology
776,journal-of-clinical-rheumatology
777,journal-of-clinical-sleep-medicine
778,journal-of-combinatorics
779,journal-of-common-market-studies
780,journal-of-comparative-pathology
781,journal-of-computational-chemistry
782,journal-of-computer-applications-in-archaeology
783,journal-of-computer-information-systems
784,journal-of-consumer-research
785,journal-of-crohns-and-colitis-supplements
786,journal-of-crohns-and-colitis
787,journal-of-dairy-science
788,journal-of-elections-public-opinion-and-parties
789,journal-of-endodontics
790,journal-of-environmental-science-and-health-part-b
791,journal-of-european-public-policy
792,journal-of-evolution-and-health
793,journal-of-evolutionary-biology
794,journal-of-experimental-botany
795,journal-of-field-ornithology
796,journal-of-finance
797,journal-of-fish-biology
798,journal-of-fish-diseases
799,journal-of-food-protection
800,journal-of-forensic-sciences
801,journal-of-geriatric-psychiatry-and-neurology
802,journal-of-glaciology
803,journal-of-hearing-science
804,journal-of-historical-linguistics
805,journal-of-human-evolution
806,journal-of-hypertension
807,journal-of-industrial-and-engineering-chemistry
808,journal-of-industrial-ecology
809,journal-of-infection
810,journal-of-infectious-diseases
811,journal-of-information-technology
812,journal-of-institutional-and-theoretical-economics
813,journal-of-integrated-omics
814,journal-of-interactive-marketing
815,journal-of-internal-medicine
816,journal-of-international-business-studies
817,journal-of-international-economic-law
818,journal-of-international-relations-and-development
819,journal-of-investigative-dermatology
820,journal-of-jewish-studies
821,journal-of-korean-neurosurgical-society
822,journal-of-limnology
823,journal-of-linguistics
824,journal-of-lipid-research
825,journal-of-magnetic-resonance-imaging
826,journal-of-mammalogy
827,journal-of-management-information-systems
828,journal-of-management-studies
829,journal-of-management
830,journal-of-materials-research
831,journal-of-mechanical-science-and-technology
832,journal-of-medical-genetics
833,journal-of-medical-internet-research
834,journal-of-minimally-invasive-gynecology
835,journal-of-molecular-cell-biology
836,journal-of-molecular-recognition
837,journal-of-molecular-signaling
838,journal-of-music-technology-and-education
839,journal-of-nanoscience-and-nanotechnology
840,journal-of-natural-history
841,journal-of-neolithic-archaeology
842,journal-of-neurochemistry
843,journal-of-neurological-disorders
844,journal-of-neurophysiology
845,journal-of-neuroscience-and-neuroengineering
846,journal-of-neurosurgery
847,journal-of-neurotrauma
848,journal-of-nutrition
849,journal-of-oral-and-maxillofacial-surgery
850,journal-of-orthopaedic-research
851,journal-of-orthopaedic-trauma
852,journal-of-orthopaedics-trauma-and-rehabilitation
853,journal-of-paleontology
854,journal-of-peace-research
855,journal-of-peptide-science
856,journal-of-perinatal-medicine
857,journal-of-periodontal-research
858,journal-of-petrology
859,journal-of-pharmacy-and-pharmacology
860,journal-of-phycology
861,journal-of-physical-therapy-science
862,journal-of-plant-ecology
863,journal-of-plant-nutrition-and-soil-science
864,journal-of-pollination-ecology
865,journal-of-polymer-science-part-a-polymer-chemistry
866,journal-of-porphyrins-and-phthalocyanines
867,journal-of-product-innovation-management
868,journal-of-psychiatric-and-mental-health-nursing
869,journal-of-psychiatry-and-neuroscience
870,journal-of-raman-spectroscopy
871,journal-of-reconstructive-microsurgery
872,journal-of-retailing
873,journal-of-rheumatology
874,journal-of-roman-archaeology-a
875,journal-of-roman-archaeology-b
876,journal-of-science-and-medicine-in-sport
877,journal-of-separation-science
878,journal-of-shoulder-and-elbow-surgery
879,journal-of-simulation
880,journal-of-sleep-research
881,journal-of-social-philosophy
882,journal-of-sport-and-health-science
883,journal-of-strength-and-conditioning-research
884,journal-of-structural-geology
885,journal-of-studies-on-alcohol-and-drugs
886,journal-of-surgery-and-medicine
887,journal-of-systematic-palaeontology
888,journal-of-the-air-and-waste-management-association
889,journal-of-the-american-academy-of-audiology
890,journal-of-the-american-academy-of-orthopaedic-surgeons
891,journal-of-the-american-association-of-laboratory-animal-science
892,journal-of-the-american-ceramic-society
893,journal-of-the-american-college-of-cardiology
894,journal-of-the-american-college-of-surgeons
895,journal-of-the-american-heart-association
896,journal-of-the-american-society-of-brewing-chemists
897,journal-of-the-american-society-of-nephrology
898,journal-of-the-american-water-resources-association
899,journal-of-the-association-for-information-systems
900,journal-of-the-association-of-environmental-and-resource-economists
901,journal-of-the-brazilian-chemical-society
902,journal-of-the-electrochemical-society
903,journal-of-the-korean-society-of-civil-engineers
904,journal-of-the-marine-biological-association-of-the-united-kingdom
905,journal-of-the-royal-anthropological-institute
906,journal-of-the-south-african-veterinary-association
907,journal-of-thermal-spray-technology
908,journal-of-thrombosis-and-haemostasis
909,journal-of-tropical-ecology
910,journal-of-tropical-life-science
911,journal-of-universal-computer-science
912,journal-of-urban-and-environmental-engineering
913,journal-of-vegetation-science
914,journal-of-vertebrate-paleontology
915,journal-of-veterinary-diagnostic-investigation
916,journal-of-visualized-experiments
917,journal-of-water-sanitation-and-hygiene-for-development
918,journal-of-zoo-and-wildlife-medicine
919,journal-of-zoo-biology
920,journal-of-zoology
921,journal-on-efficiency-and-responsibility-in-education-and-science
922,juristische-zitierweise-schweizer
923,juristische-zitierweise
924,jurnal-pangan-dan-agroindustri
