index,citationStyle,total,percentage,notWorkingIndex,notWorkingCitationStyle
46,american-sociological-association,633996,0.064,,
47,american-statistical-association,633996,0.064,,
48,american-veterinary-medical-association,633996,0.064,,
49,amphibia-reptilia,633996,0.064,,
50,anabases,614477,0.062,,
51,anaesthesia,633996,0.064,,
52,analytical-sciences,633996,0.064,,
53,anesthesia-and-analgesia,633996,0.064,,
54,anesthesiology,633996,0.064,,
55,angewandte-chemie,633996,0.064,,
56,angiologia,633996,0.064,,
57,animal-conservation,633996,0.064,,
58,animal-migration,633996,0.064,,
59,animal,633996,0.064,,
60,annalen-des-naturhistorischen-museums-in-wien,633996,0.064,,
61,annals-of-applied-biology,633996,0.064,,
62,annals-of-behavioral-medicine,633996,0.064,,
63,annals-of-biomedical-engineering,633988,0.064,,
64,annals-of-botany,633996,0.064,,
65,annals-of-joint,633996,0.064,,
66,annals-of-neurology,633996,0.064,,
67,annals-of-oncology,633996,0.064,,
68,annals-of-surgery,633996,0.064,,
69,annals-of-the-association-of-american-geographers,633996,0.064,,
70,annals-of-the-new-york-academy-of-sciences,633996,0.064,,
71,annual-review-of-astronomy-and-astrophysics,633519,0.064,,
72,annual-review-of-medicine,633519,0.064,,
73,annual-review-of-nuclear-and-particle-science,633519,0.064,,
74,annual-reviews-alphabetical,633519,0.064,,
75,annual-reviews-author-date,633519,0.064,,
76,annual-reviews-without-titles,633519,0.064,,
77,annual-reviews,633519,0.064,,
78,antarctic-science,633996,0.064,,
79,anthropologie-et-societes,633996,0.064,,
80,anticancer-research,633996,0.064,,
81,antiquity,633996,0.064,,
82,apa-5th-edition,633996,0.064,,
83,apa-annotated-bibliography,633996,0.064,,
84,apa-cv,633996,0.064,,
85,apa-fr-provost,633996,0.064,,
86,apa-no-ampersand,633996,0.064,,
87,apa-no-doi-no-issue,633996,0.064,,
88,apa-old-doi-prefix,633996,0.064,,
89,apa-single-spaced,633996,0.064,,
90,apa-tr,633996,0.064,,
91,apa,633996,0.064,,
92,applied-in-vitro-toxicology,633996,0.064,,
93,applied-spectroscopy-reviews,633996,0.064,,
94,applied-spectroscopy,633996,0.064,,
95,aquatic-conservation,633996,0.064,,
96,aquatic-invasions,633996,0.064,,
97,aquatic-living-resources,633996,0.064,,
98,aquitania,633996,0.064,,
99,arachne,633996,0.064,,
100,arachnology,633996,0.064,,
101,archaeometry,633996,0.064,,
102,archeologia-classica,633996,0.064,,
103,archeologie-medievale,626285,0.063,,
104,archeologies-et-sciences-de-lantiquite,633996,0.064,,
105,archiv-fur-die-civilistische-praxis,633996,0.064,,
106,archiv-fur-geschichte-der-philosophie,633996,0.064,,
107,archives-of-physical-medicine-and-rehabilitation,633996,0.064,,
108,archivos-de-bronconeumologia,633996,0.064,,
109,archivos-de-la-sociedad-espanola-de-oftalmologia,633996,0.064,,
110,arctic-antarctic-and-alpine-research,633996,0.064,,
111,arhiv-za-higijenu-rada-i-toksikologiju,633996,0.064,,
112,artery-research,633996,0.064,,
113,arthritis-and-rheumatism,633996,0.064,,
114,arts-university-bournemouth,633996,0.064,,
115,arzneimitteltherapie,633996,0.064,,
116,asa-cssa-sssa,633996,0.064,,
117,asaio-journal,633996,0.064,,
118,asia-and-the-pacific-policy-studies,633996,0.064,,
119,asia-pacific-journal-of-human-resources,633996,0.064,,
120,asian-journal-of-neurosurgery,633996,0.064,,
121,asian-studies-review,633996,0.064,,
122,assay-and-drug-development-technologies,633996,0.064,,
123,associacao-brasileira-de-normas-tecnicas-eceme,633996,0.064,,
124,associacao-brasileira-de-normas-tecnicas-instituto-meira-mattos,633996,0.064,,
125,associacao-brasileira-de-normas-tecnicas-ipea,633996,0.064,,
126,associacao-brasileira-de-normas-tecnicas-note,633996,0.064,,
127,associacao-brasileira-de-normas-tecnicas-ufmg-face-full,633996,0.064,,
128,associacao-brasileira-de-normas-tecnicas-ufmg-face-initials,633996,0.064,,
129,associacao-brasileira-de-normas-tecnicas-ufpr,633996,0.064,,
130,associacao-brasileira-de-normas-tecnicas-ufrgs-initials,633996,0.064,,
131,associacao-brasileira-de-normas-tecnicas-ufrgs,633996,0.064,,
132,associacao-brasileira-de-normas-tecnicas-ufs,633996,0.064,,
133,associacao-brasileira-de-normas-tecnicas-usp-fmvz,633996,0.064,,
134,associacao-brasileira-de-normas-tecnicas,633996,0.064,,
135,associacao-nacional-de-pesquisa-e-ensino-em-transportes,633996,0.064,,
136,association-de-science-regionale-de-langue-francaise,633996,0.064,,
137,association-for-computational-linguistics,633519,0.064,,
138,association-for-computing-machinery,633996,0.064,,
139,atlas-of-genetics-and-cytogenetics-in-oncology-and-haematology,633996,0.064,,
140,austral-ecology,633996,0.064,,
141,australian-critical-care,633996,0.064,,
142,australian-guide-to-legal-citation,633996,0.064,,
143,australian-journal-of-earth-sciences,633996,0.064,,
144,australian-journal-of-grape-and-wine-research,633996,0.064,,
145,australian-veterinary-journal,633996,0.064,,
146,austrian-legal,633996,0.064,,
147,avian-diseases,633996,0.064,,
148,avian-pathology,633996,0.064,,
149,aviation-space-and-environmental-medicine,633996,0.064,,
150,babes-bolyai-university-faculty-of-orthodox-theology,633996,0.064,,
151,baghdad-science-journal,633996,0.064,,
152,behaviour,633996,0.064,,
153,beltz-padagogik,633996,0.064,,
154,bioarchaeology-international,633996,0.064,,
155,bioarchaeology-of-the-near-east,633996,0.064,,
156,biochemical-journal,633996,0.064,,
157,biochemical-society-transactions,633996,0.064,,
158,biochemistry-and-molecular-biology-education,633996,0.064,,
159,biochemistry,633996,0.064,,
160,biochimica-et-biophysica-acta,633996,0.064,,
161,bioelectromagnetics,633996,0.064,,
162,bioessays,633996,0.064,,
163,bioinformatics,633996,0.064,,
164,biologia,633996,0.064,,
165,biological-and-pharmaceutical-bulletin,633996,0.064,,
166,biological-journal-of-the-linnean-society,633996,0.064,,
167,biological-psychiatry,633996,0.064,,
168,biological-reviews,633996,0.064,,
169,biology-of-reproduction,633996,0.064,,
170,biomed-central,633996,0.064,,
171,biomed-research-international,633996,0.064,,
172,biometrics,633996,0.064,,
173,biophysical-journal,633996,0.064,,
174,biopolymers,633996,0.064,,
175,bioresources,633996,0.064,,
176,biosocieties,633996,0.064,,
177,biota-neotropica,633996,0.064,,
178,biotechniques,633996,0.064,,
179,biotechnology-and-bioengineering,633996,0.064,,
180,biotropica,633996,0.064,,
181,biuletyn-polskiego-towarzystwa-jezykoznawczego,633996,0.064,,
182,blood,633996,0.064,,
183,bmj,633996,0.064,,
184,body-and-society,633996,0.064,,
185,boletin-de-pediatria,633996,0.064,,
186,boreal-environment-research,633996,0.064,,
187,brachytherapy,633996,0.064,,
188,brain-behavior-and-evolution,633996,0.064,,
189,brain,633996,0.064,,
190,brazilian-journal-of-infectious-diseases,633996,0.064,,
191,brewingscience,633996,0.064,,
192,briefings-in-bioinformatics,633996,0.064,,
193,british-journal-of-anaesthesia,633996,0.064,,
194,british-journal-of-cancer,633996,0.064,,
195,british-journal-of-dermatology,633996,0.064,,
196,british-journal-of-haematology,633996,0.064,,
197,british-journal-of-industrial-relations,633996,0.064,,
198,british-journal-of-pharmacology,633996,0.064,,
199,british-journal-of-political-science,633996,0.064,,
200,british-journal-of-surgery,633996,0.064,,
201,budownictwo-i-architektura-pl,633996,0.064,,
202,building-structure,633996,0.064,,
203,bulletin-de-correspondance-hellenique,633996,0.064,,
204,bulletin-de-la-societe-entomologique-de-france,633996,0.064,,
205,bulletin-of-marine-science,633996,0.064,,
206,bulletin-of-the-american-schools-of-oriental-research,633996,0.064,,
207,business-ethics-a-european-review,633996,0.064,,
208,byzantina-symmeikta,633996,0.064,,
209,cahiers-d-ethnomusicologie,633996,0.064,,
210,cahiers-du-centre-gustave-glotz,633996,0.064,,
211,california-agriculture,633996,0.064,,
212,cambridge-journal-of-economics,633996,0.064,,
213,cambridge-university-press-author-date,633996,0.064,,
214,cambridge-university-press-law-note,633519,0.064,,
215,cambridge-university-press-note,633519,0.064,,
216,cambridge-university-press-numeric,633996,0.064,,
217,campus-adventiste-du-saleve-faculte-adventiste-de-theologie,633996,0.064,,
218,canadian-journal-of-chemistry,633996,0.064,,
219,canadian-journal-of-dietetic-practice-and-research,633996,0.064,,
220,canadian-journal-of-economics,633996,0.064,,
221,canadian-journal-of-physics,633996,0.064,,
222,canadian-journal-of-public-health,633996,0.064,,
223,canadian-public-policy,633996,0.064,,
224,cancer-translational-medicine,633996,0.064,,
225,carcinogenesis,633996,0.064,,
226,cardiff-university-vancouver,633996,0.064,,
227,cardiocore,633996,0.064,,
228,cath-lab-digest,633985,0.064,,
229,cell-numeric-superscript,633996,0.064,,
230,cell-numeric,633996,0.064,,
231,cell-research,633996,0.064,,
232,cell-structure-and-function,633996,0.064,,
233,cell-transplantation,633996,0.064,,
234,cell,633996,0.064,,
235,cellular-and-molecular-bioengineering,633996,0.064,,
236,cellular-reprogramming,633996,0.064,,
237,centaurus,633996,0.064,,
238,cerebral-cortex,633996,0.064,,
239,ceska-zemedelska-univerzita-v-praze-fakulta-agrobiologie-potravinovych-a-prirodnich-zdroju,633996,0.064,,
240,changer-d-epoque,614477,0.062,,
241,chemical-and-pharmaceutical-bulletin,633996,0.064,,
242,chemical-biology-and-drug-design,633996,0.064,,
243,chemical-senses,633996,0.064,,
244,chemie-ingenieur-technik,633996,0.064,,
245,chemistry-education-research-and-practice,633996,0.064,,
246,chest,633996,0.064,,
247,chicago-annotated-bibliography,633996,0.064,,
248,chicago-author-date-16th-edition,633996,0.064,,
249,chicago-author-date-de,633996,0.064,,
250,chicago-author-date-fr,633996,0.064,,
251,chicago-author-date,633996,0.064,,
252,chicago-fullnote-bibliography-16th-edition,633996,0.064,,
253,chicago-fullnote-bibliography-fr,633996,0.064,,
254,chicago-fullnote-bibliography-with-ibid,633996,0.064,,
255,chicago-fullnote-bibliography,633996,0.064,,
256,chicago-library-list,633996,0.064,,
257,chicago-note-bibliography-16th-edition,633996,0.064,,
258,chicago-note-bibliography-with-ibid,633996,0.064,,
259,chicago-note-bibliography,633996,0.064,,
260,chimia,633996,0.064,,
261,chinese-gb7714-1987-numeric,633996,0.064,,
262,chinese-gb7714-2005-author-date,633996,0.064,,
263,chinese-gb7714-2005-numeric,633996,0.064,,
264,chinese-journal-of-aeronautics,633996,0.064,,
265,chroniques-des-activites-archeologiques-de-l-ecole-francaise-de-rome,633996,0.064,,
266,circulation-journal,633996,0.064,,
267,circulation,633996,0.064,,
268,cirugia-cardiovascular,633996,0.064,,
269,citizen-science-theory-and-practice,633996,0.064,,
270,civilta-italiana,633996,0.064,,
271,cladistics,633996,0.064,,
272,clara-architecture-recherche,633996,0.064,,
273,clay-minerals,633996,0.064,,
274,clays-and-clay-minerals,633996,0.064,,
275,climate-change-economics,633996,0.064,,
276,clinica-e-investigacion-en-arteriosclerosis,633996,0.064,,
277,clinical-anatomy,633288,0.064,,
278,clinical-dysmorphology,633996,0.064,,
279,clinical-gastroenterology-and-hepatology,633996,0.064,,
280,clinical-hemorheology-and-microcirculation,633996,0.064,,
281,clinical-infectious-diseases,633996,0.064,,
282,clinical-journal-of-sport-medicine,633996,0.064,,
283,clinical-nuclear-medicine,633996,0.064,,
284,clinical-oral-implants-research,633996,0.064,,
285,clinical-orthopaedics-and-related-research,633996,0.064,,
286,clinical-otolaryngology,633996,0.064,,
287,clinical-pharmacology-and-therapeutics,633996,0.064,,
288,clinical-physiology-and-functional-imaging,633996,0.064,,
289,clinical-radiology,633996,0.064,,
290,clinical-spine-surgery,633996,0.064,,
291,clio-medica,633996,0.064,,
292,cns-and-neurological-disorders-drug-targets,633996,0.064,,
293,cold-spring-harbor-laboratory-press,633996,0.064,,
294,collection-de-l-ecole-francaise-de-rome-full-note,633996,0.064,,
295,collection-de-l-ecole-francaise-de-rome-note,633996,0.064,,
296,collection-du-centre-jean-berard,633996,0.064,,
297,collections-electroniques-de-l-inha-author-date,633996,0.064,,
298,collections-electroniques-de-l-inha-full-note,633996,0.064,,
299,colombian-journal-of-anesthesiology,633996,0.064,,
300,colorado-state-university-school-of-biomedical-engineering,633996,0.064,,
301,comision-economica-para-america-latina-y-el-caribe,633996,0.064,,
302,comparative-population-studies,633996,0.064,,
303,conservation-biology,633996,0.064,,
304,conservation-letters,633996,0.064,,
305,conservation-physiology,633996,0.064,,
306,copeia,633996,0.064,,
307,copernicus-publications,633996,0.064,,
308,coral-reefs,633996,0.064,,
309,cornea,633996,0.064,,
310,corrosion,633996,0.064,,
311,council-of-science-editors-alphabetical,633996,0.064,,
312,council-of-science-editors-author-date,633996,0.064,,
313,council-of-science-editors,633996,0.064,,
314,cranfield-university-numeric,633996,0.064,,
315,creativity-and-innovation-management,633996,0.064,,
316,critical-care-medicine,633996,0.064,,
317,critical-reviews-in-plant-sciences,633996,0.064,,
318,crop-breeding-and-applied-biotechnology,633996,0.064,,
319,cuadernos-de-filologia-clasica,633996,0.064,,
320,cultivos-tropicales,633996,0.064,,
321,cultural-geographies,633996,0.064,,
322,cultural-studies-of-science-education,633996,0.064,,
323,culture-medicine-and-psychiatry,633996,0.064,,
324,current-alzheimer-research,633996,0.064,,
325,current-gene-therapy,633996,0.064,,
326,current-opinion,633996,0.064,,
327,current-pharmaceutical-design,633996,0.064,,
328,current-proteomics,633996,0.064,,
329,current-protocols,633996,0.064,,
330,current-science,633996,0.064,,
331,current-topics-in-medicinal-chemistry,633996,0.064,,
332,currents-in-biblical-research,633996,0.064,,
333,cyberpsychology-behavior-and-social-networking,633996,0.064,,
334,cybium,633996,0.064,,
335,cytometry,633996,0.064,,
336,data-science-journal,633996,0.064,,
337,database,633996,0.064,,
338,de-montfort-university-harvard,633996,0.064,,
339,decision-sciences,633996,0.064,,
340,demographic-research,633996,0.064,,
341,der-moderne-staat,633996,0.064,,
342,deutsche-gesellschaft-fur-psychologie,633996,0.064,,
343,deutsche-sprache,633996,0.064,,
344,deutsches-archaologisches-institut,633996,0.064,,
345,development-and-change,633996,0.064,,
346,development-policy-review,633996,0.064,,
347,developmental-neurobiology,633288,0.064,,
348,diagnostico-prenatal,633996,0.064,,
349,dialisis-y-trasplante,633996,0.064,,
350,diatom-research,633996,0.064,,
351,die-bachelorarbeit-samac-et-al-in-text,633996,0.064,,
352,die-bachelorarbeit-samac-et-al-note,633996,0.064,,
353,din-1505-2-alphanumeric,633996,0.064,,
354,din-1505-2-numeric-alphabetical,633985,0.064,,
355,din-1505-2-numeric,633985,0.064,,
356,din-1505-2,633985,0.064,,
357,diplo,633996,0.064,,
358,disability-and-rehabilitation,633996,0.064,,
359,discovery-medicine,633996,0.064,,
360,dna-research,633996,0.064,,
361,documents-d-archeologie-francaise,633996,0.064,,
362,donau-universitat-krems-department-fur-e-governance-in-wirthschaft-und-verwaltung,633996,0.064,,
363,drug-development-research,633996,0.064,,
364,drug-testing-and-analysis,633996,0.064,,
365,drugs-of-today,633996,0.064,,
366,ear-and-hearing,633996,0.064,,
367,early-christianity,633996,0.064,,
368,earthquake-engineering-and-structural-dynamics,633996,0.064,,
369,earthquake-spectra,633996,0.064,,
370,ecclesial-practices,633996,0.064,,
371,ecole-de-technologie-superieure-apa,633996,0.064,,
372,ecole-pratique-des-hautes-etudes-sciences-historiques-et-philologiques,633996,0.064,,
373,ecology-letters,633996,0.064,,
374,ecology-of-freshwater-fish,633996,0.064,,
375,econometrica,633996,0.064,,
376,economic-commission-for-latin-america-and-the-caribbean,633996,0.064,,
377,economic-geology,633996,0.064,,
378,economie-et-statistique,633996,0.064,,
379,ecoscience,633996,0.064,,
380,ecosistemas,633996,0.064,,
381,ecosystems,633996,0.064,,
382,edward-elgar-business-and-social-sciences,633996,0.064,,
383,egretta,633996,0.064,,
384,einaudi,633996,0.064,,
385,el-profesional-de-la-informacion,633996,0.064,,
386,elementa,633996,0.064,,
387,elife,633996,0.064,,
388,elsevier-harvard-without-titles,633996,0.064,,
389,elsevier-harvard,633996,0.064,,
390,elsevier-harvard2,633996,0.064,,
391,elsevier-vancouver-author-date,633996,0.064,,
392,elsevier-vancouver,633996,0.064,,
393,elsevier-with-titles-alphabetical,633996,0.064,,
394,elsevier-with-titles,633996,0.064,,
395,elsevier-without-titles,633996,0.064,,
396,embo-reports,633996,0.064,,
397,emerald-harvard,633996,0.064,,
398,emu-austral-ornithology,633996,0.064,,
399,endocrine-press,633996,0.064,,
400,endoscopia,633996,0.064,,
401,eneuro,633996,0.064,,
402,enfermeria-clinica,633996,0.064,,
403,enfermeria-intensiva,633996,0.064,,
404,engineering-in-life-sciences,633996,0.064,,
405,entomologia-experimentalis-et-applicata,633996,0.064,,
406,entomological-society-of-america,633996,0.064,,
407,environment-and-planning,633996,0.064,,
408,environmental-and-engineering-geoscience,633996,0.064,,
409,environmental-chemistry,633996,0.064,,
410,environmental-conservation,633996,0.064,,
411,environmental-health-perspectives,633996,0.064,,
412,environmental-microbiology,633996,0.064,,
413,environmental-toxicology-and-chemistry,633996,0.064,,
414,environmental-values,633996,0.064,,
415,environnement-risques-et-sante,633996,0.064,,
416,epidemiology-and-infection,633996,0.064,,
417,epilepsia,633996,0.064,,
418,equine-veterinary-education,633996,0.064,,
419,equine-veterinary-journal,633996,0.064,,
420,ergoscience,633996,0.064,,
421,escuela-nacional-de-antropologia-e-historia-author-date,633996,0.064,,
422,escuela-nacional-de-antropologia-e-historia-full-note,633996,0.064,,
423,escuela-nacional-de-antropologia-e-historia-short-note,633996,0.064,,
424,estudios-de-cultura-maya,633996,0.064,,
425,ethnobiology-and-conservation,633996,0.064,,
426,ethnologie-francaise,633996,0.064,,
427,ethnomusicology,633996,0.064,,
428,ets-ecole-de-technologie-superieure,633996,0.064,,
429,eurointervention,633996,0.064,,
430,europace,633996,0.064,,
431,european-cells-and-materials,633996,0.064,,
432,european-journal-for-philosophy-of-religion,633996,0.064,,
433,european-journal-of-clinical-microbiology-and-infectious-diseases,633996,0.064,,
434,european-journal-of-emergency-medicine,633996,0.064,,
435,european-journal-of-endocrinology,633996,0.064,,
436,european-journal-of-human-genetics,633996,0.064,,
437,european-journal-of-immunology,633996,0.064,,
438,european-journal-of-information-systems,633996,0.064,,
439,european-journal-of-international-law,633996,0.064,,
440,european-journal-of-microbiology-and-immunology,633996,0.064,,
441,european-journal-of-neuroscience,633996,0.064,,
442,european-journal-of-ophthalmology,633996,0.064,,
443,european-journal-of-paediatric-neurology,633996,0.064,,
444,european-journal-of-pain,633996,0.064,,
445,european-journal-of-political-research,633996,0.064,,
446,european-journal-of-public-health,633996,0.064,,
447,european-journal-of-soil-science,633996,0.064,,
448,european-journal-of-ultrasound,633996,0.064,,
449,european-journal-of-vascular-and-endovascular-surgery,633996,0.064,,
450,european-respiratory-journal,633996,0.064,,
451,european-society-of-cardiology,633996,0.064,,
452,european-union-interinstitutional-style-guide,633996,0.064,,
453,evidence-based-complementary-and-alternative-medicine,633996,0.064,,
454,evolution-and-development,633996,0.064,,
455,evolution,633996,0.064,,
456,evolutionary-anthropology,633996,0.064,,
457,evolutionary-ecology-research,633996,0.064,,
458,exercer,633996,0.064,,
459,experimental-dermatology,633996,0.064,,
460,eye,633996,0.064,,
461,fachhochschule-vorarlberg-author-date,633996,0.064,,
462,fachhochschule-vorarlberg-note,633996,0.064,,
463,facial-plastic-surgery-clinics-of-north-america,633996,0.064,,
464,family-business-review,633996,0.064,,
465,fatigue-and-fracture-of-engineering-materials-and-structures,633996,0.064,,
466,feminist-economics,633996,0.064,,
467,ferdinand-porsche-fern-fachhochschule,633996,0.064,,
468,fertility-and-sterility,633996,0.064,,
469,finanzarchiv,633996,0.064,,
470,fine-focus,633519,0.064,,
471,fish-and-fisheries,633996,0.064,,
472,fishery-bulletin,633996,0.064,,
473,flavour-and-fragrance-journal,633996,0.064,,
474,florida-entomologist,633996,0.064,,
475,foerster-geisteswissenschaft,629459,0.063,,
476,fold-and-r,633996,0.064,,
477,food-and-agriculture-organization-of-the-united-nations,633996,0.064,,
478,forensic-science-review,633996,0.064,,
479,forest-science,633996,0.064,,
480,forum-qualitative-social-research,633996,0.064,,
481,free-radical-research,633996,0.064,,
482,freie-universitat-berlin-geographische-wissenschaften,633996,0.064,,
483,french-politics,633996,0.064,,
484,french1,633996,0.064,,
485,french2,633996,0.064,,
486,french3,633996,0.064,,
487,french4,633996,0.064,,
488,freshwater-biology,633996,0.064,,
489,freshwater-crayfish,633996,0.064,,
490,friedrich-schiller-universitat-jena-medizinische-fakultat,633996,0.064,,
491,frontiers-in-ecology-and-the-environment,633996,0.064,,
492,frontiers-in-physics,633996,0.064,,
493,frontiers-medical-journals,633996,0.064,,
494,frontiers,633996,0.064,,
495,future-science-group,633996,0.064,,
496,g3,633996,0.064,,
497,gallia-prehistoire,633996,0.064,,
498,gallia,633996,0.064,,
499,gastroenterology,633996,0.064,,
500,gastrointestinal-endoscopy-clinics-of-north-america,633996,0.064,,
501,gastrointestinal-intervention,633996,0.064,,
502,geistes-und-kulturwissenschaften-heilmann,633996,0.064,,
503,genes-brain-and-behavior,633996,0.064,,
504,genes-to-cells,633996,0.064,,
505,genetics,633996,0.064,,
506,genome-biology-and-evolution,633996,0.064,,
507,genomics-and-informatics,633996,0.064,,
508,geoarchaeology,633996,0.064,,
509,geochemical-perspectives-letters,633996,0.064,,
510,geochimica-et-cosmochimica-acta,633996,0.064,,
511,geochronometria,633996,0.064,,
512,geografie-sbornik-cgs,633996,0.064,,
513,geological-magazine,633996,0.064,,
514,georg-august-universitat-gottingen-institut-fur-ethnologie-und-ethnologische-sammlung,633996,0.064,,
515,german-council-of-economic-experts,633996,0.064,,
516,gesellschaft-fur-popularmusikforschung,633996,0.064,,
517,global-ecology-and-biogeography,633996,0.064,,
518,glossa,633996,0.064,,
519,gost-r-7-0-5-2008-numeric-alphabetical,633996,0.064,,
521,gost-r-7-0-5-2008,633996,0.064,,
522,grasas-y-aceites,633996,0.064,,
523,haematologica,633985,0.064,,
524,hainan-medical-university-journal-publisher,633996,0.064,,
525,hamburg-school-of-food-science,633985,0.064,,
526,hand,633996,0.064,,
527,handbook-of-clinical-neurology,633996,0.064,,
528,harvard-anglia-ruskin-university,633996,0.064,,
529,harvard-bournemouth-university,633996,0.064,,
530,harvard-cape-peninsula-university-of-technology,633996,0.064,,
531,harvard-cardiff-university-biosi,633996,0.064,,
532,harvard-cardiff-university,633996,0.064,,
533,harvard-cite-them-right,633996,0.064,,
534,harvard-coventry-university,633996,0.064,,
535,harvard-cranfield-university,633996,0.064,,
536,harvard-deakin-university,633996,0.064,,
537,harvard-dublin-city-university,633996,0.064,,
538,harvard-dundalk-institute-of-technology,633996,0.064,,
539,harvard-durham-university-business-school,633996,0.064,,
540,harvard-edge-hill-university,633996,0.064,,
541,harvard-european-archaeology,633996,0.064,,
542,harvard-fachhochschule-salzburg,633996,0.064,,
543,harvard-falmouth-university,633996,0.064,,
544,harvard-gesellschaft-fur-bildung-und-forschung-in-europa,633996,0.064,,
545,harvard-imperial-college-london,633996,0.064,,
546,harvard-institut-fur-praxisforschung-de,633996,0.064,,
547,harvard-kings-college-london,633996,0.064,,
548,harvard-leeds-beckett-university,633996,0.064,,
549,harvard-leeds-metropolitan-university,633996,0.064,,
550,harvard-limerick,633996,0.064,,
551,harvard-london-south-bank-university,633996,0.064,,
552,harvard-manchester-business-school,633996,0.064,,
553,harvard-manchester-metropolitan-university,633996,0.064,,
554,harvard-melbourne-polytechnic,633996,0.064,,
555,harvard-newcastle-university,633996,0.064,,
556,harvard-north-west-university,633996,0.064,,
557,harvard-oxford-brookes-university-faculty-of-health-and-life-sciences,633996,0.064,,
558,harvard-pontificia-universidad-catolica-del-ecuador,633996,0.064,,
559,harvard-robert-gordon-university,633996,0.064,,
560,harvard-southampton-solent-university,633996,0.064,,
561,harvard-staffordshire-university,633996,0.064,,
562,harvard-stellenbosch-university,633996,0.064,,
563,harvard-swinburne-university-of-technology,633996,0.064,,
564,harvard-the-university-of-melbourne,633996,0.064,,
565,harvard-the-university-of-northampton,633996,0.064,,
566,harvard-the-university-of-sheffield-school-of-east-asian-studies,633996,0.064,,
567,harvard-the-university-of-sheffield-town-and-regional-planning,633996,0.064,,
568,harvard-theologisches-seminar-adelshofen,633996,0.064,,
569,harvard-universiti-teknologi-malaysia,633996,0.064,,
570,harvard-universiti-tunku-abdul-rahman,633996,0.064,,
571,harvard-university-for-the-creative-arts,633996,0.064,,
572,harvard-university-of-abertay-dundee,633996,0.064,,
573,harvard-university-of-bath,633996,0.064,,
574,harvard-university-of-birmingham,633996,0.064,,
575,harvard-university-of-brighton-school-of-environment-and-technology,633996,0.064,,
576,harvard-university-of-cape-town,633996,0.064,,
577,harvard-university-of-exeter-geography,633996,0.064,,
578,harvard-university-of-greenwich,633996,0.064,,
579,harvard-university-of-kent,633996,0.064,,
580,harvard-university-of-leeds,633996,0.064,,
581,harvard-university-of-sunderland,633996,0.064,,
582,harvard-university-of-technology-sydney,633996,0.064,,
583,harvard-university-of-the-west-of-england,633996,0.064,,
584,harvard-university-of-the-west-of-scotland,633996,0.064,,
585,harvard-university-of-westminster,633996,0.064,,
586,harvard-university-of-wolverhampton,633996,0.064,,
587,harvard-university-of-worcester,633996,0.064,,
588,harvard-york-st-john-university,633996,0.064,,
589,haute-ecole-de-gestion-de-geneve-iso-690,633996,0.064,,
590,haute-ecole-pedagogique-fribourg,633996,0.064,,
591,hawaii-international-conference-on-system-sciences-proceedings,633996,0.064,,
592,health-and-human-rights-journal,633996,0.064,,
593,health-and-social-care-in-the-community,633996,0.064,,
